Datetime,Open,High,Low,Close,Volume
1628717220.0,1.799439,1.806579,1.8071,1.799282,58631.94020579
1628717280.0,1.806579,1.806126,1.807679,1.799948,37836.06844898
1628717340.0,1.806213,1.81352,1.813791,1.806213,84860.42279967
1628717400.0,1.813249,1.807178,1.813599,1.802341,48081.58812377
1628717460.0,1.808065,1.818258,1.818258,1.808065,20660.47551009
1628717520.0,1.818299,1.820305,1.825,1.818299,63144.55152135
1628717580.0,1.820305,1.825,1.825,1.820305,12149.15743992
1628717640.0,1.825,1.827384,1.82742,1.821518,106658.61234883
1628717700.0,1.825898,1.823942,1.825898,1.821559,95415.87218439
1628717760.0,1.823244,1.823164,1.823255,1.822513,18221.81153693
1628717820.0,1.823163,1.828998,1.828998,1.823044,29302.57457151
1628717880.0,1.828999,1.832737,1.832737,1.828464,24084.83427629
1628717940.0,1.832598,1.832256,1.833602,1.831076,58658.84982916
1628718000.0,1.832256,1.834195,1.834622,1.832094,40085.5416517
1628718060.0,1.834196,1.834439,1.835,1.834195,12277.37963721
1628718120.0,1.834439,1.828177,1.834439,1.82664,125685.67924754
1628718180.0,1.827961,1.828412,1.829657,1.826144,21632.95514496
1628718240.0,1.827179,1.828573,1.828882,1.827179,6988.4719
1628718300.0,1.828592,1.836252,1.84,1.828591,48359.20012508
1628718360.0,1.835999,1.83318,1.838986,1.833061,21742.69549172
1628718420.0,1.833192,1.838306,1.838306,1.833192,9667.18029683
1628718480.0,1.838305,1.83636,1.839474,1.835388,14043.53539164
1628718540.0,1.836064,1.836706,1.839373,1.836064,38258.93186407
1628718600.0,1.836644,1.835941,1.838932,1.83,26844.83580495
1628718660.0,1.835941,1.832,1.837221,1.830155,18946.14053181
1628718720.0,1.831789,1.820026,1.83366,1.82,42881.79731627
1628718780.0,1.820242,1.822968,1.825075,1.809068,127149.98060186
1628718840.0,1.824313,1.82917,1.82917,1.820755,49415.02435682
1628718900.0,1.82917,1.833679,1.835874,1.826745,69535.90708492
1628718960.0,1.833459,1.83331,1.835685,1.83,93522.62564899
1628719020.0,1.83478,1.835424,1.835874,1.831081,8747.54056514
1628719080.0,1.830389,1.831872,1.834143,1.830027,4662.1745887
1628719140.0,1.831667,1.83144,1.832429,1.828896,45273.463
1628719200.0,1.829889,1.822482,1.831124,1.821681,52754.59245262
1628719260.0,1.823083,1.824357,1.825466,1.822252,11928.74642063
1628719320.0,1.822,1.822473,1.822573,1.81657,46620.14591333
1628719380.0,1.822963,1.821447,1.825653,1.819974,23528.37036288
1628719440.0,1.820372,1.821478,1.822283,1.820372,8978.76386125
1628719500.0,1.821356,1.817845,1.821356,1.811388,49447.49291058
1628719560.0,1.816205,1.80845,1.81733,1.80845,216663.56548508
1628719620.0,1.808935,1.811681,1.811681,1.804986,133341.2117
1628719680.0,1.810316,1.8031,1.811748,1.8031,55756.93656409
1628719740.0,1.804093,1.803668,1.80623,1.803668,114708.6021
1628719800.0,1.80375,1.805795,1.808577,1.802839,34514.40978951
1628719860.0,1.805415,1.796855,1.806778,1.796271,149373.92310267
1628719920.0,1.798821,1.799789,1.8,1.794269,328395.9914
1628719980.0,1.799967,1.798226,1.800671,1.798217,61015.00154779
1628720040.0,1.799423,1.795144,1.799764,1.794111,60507.63261772
1628720100.0,1.797413,1.79459,1.798508,1.7908,58066.5258
1628720160.0,1.792805,1.78647,1.79369,1.78647,125010.39830957
1628720220.0,1.786459,1.789579,1.790682,1.783597,228470.33563151
1628720280.0,1.789579,1.791393,1.795918,1.789282,147344.63698143
1628720340.0,1.791692,1.786411,1.791766,1.786411,28629.83342448
1628720400.0,1.78641,1.787197,1.788334,1.783352,55252.33657452
1628720460.0,1.786488,1.78278,1.78697,1.78278,52663.26823563
1628720520.0,1.78277,1.7787,1.783703,1.7787,53929.49053929
1628720580.0,1.77869,1.791573,1.791573,1.77714,43887.87904721
1628720640.0,1.791263,1.788,1.79295,1.788,43778.45862892
1628720700.0,1.788,1.78516,1.794957,1.78516,74545.89175806
1628720760.0,1.785161,1.770898,1.788148,1.767333,203530.10390541
1628720820.0,1.771177,1.77477,1.779438,1.770459,62150.49276585
1628720880.0,1.775028,1.773799,1.775228,1.76999,91352.78675242
1628720940.0,1.772542,1.78412,1.78412,1.772542,95501.22308987
1628721000.0,1.78415,1.785794,1.785794,1.77425,35791.38918202
1628721060.0,1.785712,1.790098,1.794305,1.785281,153121.03570827
1628721120.0,1.789676,1.796739,1.796739,1.788217,32682.54956341
1628721180.0,1.79674,1.79386,1.799103,1.791905,77746.72437432
1628721240.0,1.79386,1.795404,1.795404,1.79192,22818.08936715
1628721300.0,1.793,1.790092,1.793868,1.785567,42820.64494293
1628721360.0,1.791132,1.791251,1.791477,1.788274,15969.08552709
1628721420.0,1.789898,1.792593,1.792593,1.78966,7195.33525689
1628721480.0,1.791951,1.789467,1.793672,1.788071,13560.74092706
1628721540.0,1.789234,1.781557,1.789234,1.78,13756.05997659
1628721600.0,1.781916,1.79169,1.79169,1.781192,12722.9550665
1628721660.0,1.791675,1.796634,1.796634,1.791675,19041.60854974
1628721720.0,1.796505,1.79306,1.79679,1.79287,21352.03125848
1628721780.0,1.793061,1.790174,1.795345,1.79,15776.34554161
1628721840.0,1.78821,1.788157,1.790628,1.78736,21997.22362525
1628721900.0,1.787837,1.792717,1.79303,1.78415,6928.55085789
1628721960.0,1.79305,1.788501,1.795565,1.78591,28931.42175759
1628722020.0,1.788422,1.790749,1.790765,1.7844,123856.03705862
1628722080.0,1.79216,1.792,1.793569,1.788215,31477.76548651
1628722140.0,1.791446,1.788046,1.792833,1.788046,14439.79945586
1628722200.0,1.787789,1.78609,1.787789,1.78425,2656.83504703
1628722260.0,1.784687,1.783052,1.786097,1.7815,7335.45455281
1628722320.0,1.783052,1.786202,1.788056,1.782293,18179.6246
1628722380.0,1.787463,1.78418,1.787463,1.782953,13653.49923511
1628722440.0,1.783405,1.786866,1.786866,1.782771,15874.6587
1628722500.0,1.787609,1.78704,1.788333,1.784602,24016.86944347
1628722560.0,1.787719,1.786589,1.787719,1.785342,13949.4422372
1628722620.0,1.786894,1.792,1.7921,1.786767,39278.42230275
1628722680.0,1.792,1.789208,1.792,1.788932,10133.00592552
1628722740.0,1.788905,1.7921,1.7921,1.788192,7324.67766188
1628722800.0,1.792,1.790525,1.792,1.788409,120476.30922276
1628722860.0,1.790552,1.79822,1.8,1.789725,153530.7224753
1628722920.0,1.796577,1.802749,1.802749,1.794098,25030.42280788
1628722980.0,1.802484,1.806505,1.80805,1.800967,214561.65023388
1628723040.0,1.806505,1.802242,1.808008,1.802242,96634.39252366
1628723100.0,1.801027,1.801,1.802554,1.8,24319.77860028
1628723160.0,1.800002,1.80181,1.80181,1.796711,108998.40124388
1628723220.0,1.801252,1.800828,1.80159,1.799446,30806.31808865
1628723280.0,1.799304,1.800525,1.800795,1.798176,20866.84686138
1628723340.0,1.799679,1.80016,1.80016,1.798485,5397.78773017
1628723400.0,1.799366,1.799252,1.800255,1.796589,40373.638
1628723460.0,1.799085,1.79298,1.799085,1.792,24154.81146288
1628723520.0,1.793599,1.791263,1.79418,1.790001,14258.90117505
1628723580.0,1.790986,1.784596,1.791082,1.784596,65279.90190099
1628723640.0,1.784584,1.780871,1.784584,1.7808,38059.36837542
1628723700.0,1.780798,1.778445,1.780798,1.77414,75834.30176291
1628723760.0,1.779919,1.774092,1.781218,1.772396,28969.14133559
1628723820.0,1.773028,1.780219,1.78191,1.773028,79030.51644443
1628723880.0,1.780213,1.780242,1.782006,1.778389,47138.38644017
1628723940.0,1.780246,1.778444,1.781129,1.772542,20888.80470844
1628724000.0,1.77785,1.783665,1.785437,1.774202,27428.72402775
1628724060.0,1.782441,1.778429,1.783389,1.777158,18158.0511
1628724120.0,1.776908,1.772992,1.778163,1.772565,37801.94226918
1628724180.0,1.773202,1.771311,1.773309,1.771065,13834.2469
1628724240.0,1.771233,1.769999,1.771337,1.768819,39139.45466549
